school_name,fees_annual,boarding,a_level_a_star_b,gcse_9_7,exam_year,isi_status,notes
"St Paul's School",35847,"Day & Boarding",,,,,"Senior day £11,949/term inc VAT 2025/26 (boarding £17,981/term). Source: stpaulsschool.org.uk fees page, checked Jul 2026."
"St Paul's Girls' School",37242,"Day",,,,,"£12,414/term inc VAT 2025/26. Source: spgs.org fees page, checked Jul 2026."
"Westminster School",46353,"Day & Boarding",,,,,"13+ day £15,451/term inc VAT 2025/26; sixth-form day and boarding higher. Source: westminster.org.uk fees page, checked Jul 2026."
"Dulwich College",32118,"Day & Boarding",,,,,"Y9-13 day £10,706/term inc VAT 2026/27 (full boarding £22,472/term). Source: dulwich.org.uk fees page, checked Jul 2026."
"Alleyn's School",32490,"Day",,,,,"Senior yearly fee inc VAT 2026/27 (£9,025/term ex VAT). Source: alleyns.org.uk fees page, checked Jul 2026."
"Highgate School",31575,"Day",88,94,2025,,"Senior day £10,525/term inc VAT 2025/26. Source: school website + WhichSchoolAdvisor."
"King's College School",34212,"Day",,,,,"Y9+ day £11,404/term inc VAT 2025/26 (Y7-8 £10,410/term). Source: kcs.org.uk fees page, checked Jul 2026."
"City of London School",28386,"Day",,,,,"£9,462/term inc VAT 2025/26. Source: cityoflondonschool.org.uk fees page, checked Jul 2026."
